Month,Account,Account_Description,Cost_Center,Cost_Center_Name,Amount_SAR,Note
2025-06,6020,GOSI Contributions,CC-220,Riyadh South DC,70070.91,
2025-06,6020,GOSI Contributions,CC-230,Qassim WH,38928.28,
2025-06,6020,GOSI Contributions,CC-240,Hail WH,31142.63,
2025-06,6020,GOSI Contributions,CC-310,Sales — Institutional,54499.6,
2025-06,6020,GOSI Contributions,CC-320,Sales — Retail channels,46713.94,
2025-06,6020,GOSI Contributions,CC-410,Finance Shared Services,23356.97,
2025-06,6100,Rent Expense,CC-000,UNALLOCATED,116214.65,
2025-06,6100,Rent Expense,CC-100,HQ & Admin (Olaya),676369.25,
2025-06,6100,Rent Expense,CC-210,Riyadh North DC,1127282.09,
2025-06,6100,Rent Expense,CC-220,Riyadh South DC,976977.82,
2025-06,6100,Rent Expense,CC-230,Qassim WH,526064.98,
2025-06,6100,Rent Expense,CC-240,Hail WH,450912.84,
2025-06,6110,Utilities,CC-000,UNALLOCATED,114451.94,
2025-06,6110,Utilities,CC-100,HQ & Admin (Olaya),370061.27,
2025-06,6110,Utilities,CC-210,Riyadh North DC,888147.05,
2025-06,6110,Utilities,CC-220,Riyadh South DC,740122.54,
2025-06,6110,Utilities,CC-230,Qassim WH,1110183.81,
2025-06,6110,Utilities,CC-240,Hail WH,592098.03,
2025-06,6200,Marketing & Advertising,CC-000,UNALLOCATED,252.0,
2025-06,6200,Marketing & Advertising,CC-100,HQ & Admin (Olaya),1222.2,
2025-06,6200,Marketing & Advertising,CC-310,Sales — Institutional,2037.0,
2025-06,6200,Marketing & Advertising,CC-320,Sales — Retail channels,4888.8,
2025-06,6220,Professional Fees,CC-000,UNALLOCATED,7874.4,
2025-06,6220,Professional Fees,CC-100,HQ & Admin (Olaya),38190.83,
2025-06,6220,Professional Fees,CC-310,Sales — Institutional,63651.38,
2025-06,6220,Professional Fees,CC-320,Sales — Retail channels,152763.32,
2025-06,6300,Logistics – 3PL,,,434609.21,
2025-06,6300,Logistics – 3PL,CC-000,UNALLOCATED,96010.87,
2025-06,6300,Logistics – 3PL,CC-210,Riyadh North DC,1241740.62,
2025-06,6300,Logistics – 3PL,CC-220,Riyadh South DC,869218.43,
2025-06,6300,Logistics – 3PL,CC-230,Qassim WH,558783.28,
2025-06,6500,Depreciation Expense,CC-000,UNALLOCATED,14400.0,
2025-06,6500,Depreciation Expense,CC-100,HQ & Admin (Olaya),325920.0,
2025-06,6500,Depreciation Expense,CC-410,Finance Shared Services,139680.0,
2025-06,6700,Insurance Expense,CC-000,UNALLOCATED,5100.0,
2025-06,6700,Insurance Expense,CC-100,HQ & Admin (Olaya),115430.0,
2025-06,6700,Insurance Expense,CC-410,Finance Shared Services,49470.0,
2025-07,5000,COGS – Food,CC-000,UNALLOCATED,59824.78,
2025-07,5000,COGS – Food,CC-210,Riyadh North DC,735047.08,
2025-07,5000,COGS – Food,CC-220,Riyadh South DC,580300.33,
2025-07,5000,COGS – Food,CC-230,Qassim WH,348180.2,
2025-07,5000,COGS – Food,CC-240,Hail WH,270806.81,
2025-07,5010,COGS – Beverages,CC-000,UNALLOCATED,102160.66,
2025-07,5010,COGS – Beverages,CC-210,Riyadh North DC,1255213.96,
2025-07,5010,COGS – Beverages,CC-220,Riyadh South DC,990958.39,
2025-07,5010,COGS – Beverages,CC-230,Qassim WH,594575.03,
2025-07,5010,COGS – Beverages,CC-240,Hail WH,462447.24,
2025-07,5020,COGS – Household,CC-000,UNALLOCATED,96108.68,
2025-07,5020,COGS – Household,CC-210,Riyadh North DC,1180855.34,
2025-07,5020,COGS – Household,CC-220,Riyadh South DC,932254.22,
2025-07,5020,COGS – Household,CC-230,Qassim WH,559352.53,
2025-07,5020,COGS – Household,CC-240,Hail WH,435051.97,
2025-07,5030,COGS – Cosmetics,CC-000,UNALLOCATED,89456.51,
2025-07,5030,COGS – Cosmetics,CC-210,Riyadh North DC,1099122.34,
2025-07,5030,COGS – Cosmetics,CC-220,Riyadh South DC,867728.17,
2025-07,5030,COGS – Cosmetics,CC-230,Qassim WH,520636.9,
2025-07,5030,COGS – Cosmetics,CC-240,Hail WH,404939.81,
2025-07,5100,Freight Inwards,CC-000,UNALLOCATED,1428.45,
2025-07,5100,Freight Inwards,CC-210,Riyadh North DC,17550.92,
2025-07,5100,Freight Inwards,CC-220,Riyadh South DC,13855.99,
2025-07,5100,Freight Inwards,CC-230,Qassim WH,8313.59,
2025-07,5100,Freight Inwards,CC-240,Hail WH,6466.14,
2025-07,6000,Salaries & Wages,,,370714.04,
2025-07,6000,Salaries & Wages,CC-000,UNALLOCATED,114653.83,
2025-07,6000,Salaries & Wages,CC-210,Riyadh North DC,815570.89,
2025-07,6000,Salaries & Wages,CC-220,Riyadh South DC,667285.27,
2025-07,6000,Salaries & Wages,CC-230,Qassim WH,370714.04,
2025-07,6000,Salaries & Wages,CC-240,Hail WH,296571.23,
2025-07,6000,Salaries & Wages,CC-310,Sales — Institutional,518999.66,
2025-07,6000,Salaries & Wages,CC-320,Sales — Retail channels,444856.85,
2025-07,6000,Salaries & Wages,CC-410,Finance Shared Services,222428.41,
2025-07,6020,GOSI Contributions,,,83188.23,
2025-07,6020,GOSI Contributions,,,45375.4,
2025-07,6020,GOSI Contributions,CC-000,UNALLOCATED,11694.69,
2025-07,6020,GOSI Contributions,CC-100,HQ & Admin (Olaya),37812.83,
2025-07,6020,GOSI Contributions,CC-220,Riyadh South DC,68063.1,
2025-07,6020,GOSI Contributions,CC-230,Qassim WH,37812.83,
2025-07,6020,GOSI Contributions,CC-240,Hail WH,30250.27,
2025-07,6020,GOSI Contributions,CC-310,Sales — Institutional,52937.96,
2025-07,6020,GOSI Contributions,CC-410,Finance Shared Services,22687.7,
2025-07,6100,Rent Expense,CC-000,UNALLOCATED,103393.14,
2025-07,6100,Rent Expense,CC-100,HQ & Admin (Olaya),601748.05,
2025-07,6100,Rent Expense,CC-210,Riyadh North DC,1002913.44,
2025-07,6100,Rent Expense,CC-220,Riyadh South DC,869191.65,
2025-07,6100,Rent Expense,CC-230,Qassim WH,468026.27,
2025-07,6100,Rent Expense,CC-240,Hail WH,401165.38,
2025-07,6110,Utilities,CC-000,UNALLOCATED,112994.5,
2025-07,6110,Utilities,CC-100,HQ & Admin (Olaya),365348.87,
2025-07,6110,Utilities,CC-210,Riyadh North DC,876837.29,
2025-07,6110,Utilities,CC-220,Riyadh South DC,730697.74,
2025-07,6110,Utilities,CC-230,Qassim WH,1096046.62,
2025-07,6110,Utilities,CC-240,Hail WH,584558.2,
2025-07,6200,Marketing & Advertising,CC-000,UNALLOCATED,6868.61,
2025-07,6200,Marketing & Advertising,CC-100,HQ & Admin (Olaya),33312.78,
2025-07,6200,Marketing & Advertising,CC-310,Sales — Institutional,55521.29,
2025-07,6200,Marketing & Advertising,CC-320,Sales — Retail channels,133251.11,
2025-07,6220,Professional Fees,CC-000,UNALLOCATED,7818.73,
2025-07,6220,Professional Fees,CC-100,HQ & Admin (Olaya),37920.87,
2025-07,6220,Professional Fees,CC-310,Sales — Institutional,63201.44,
2025-07,6220,Professional Fees,CC-320,Sales — Retail channels,151683.45,
2025-07,6300,Logistics – 3PL,CC-000,UNALLOCATED,97205.42,
2025-07,6300,Logistics – 3PL,CC-210,Riyadh North DC,1257190.12,
2025-07,6300,Logistics – 3PL,CC-220,Riyadh South DC,880033.08,
2025-07,6300,Logistics – 3PL,CC-230,Qassim WH,565735.55,
2025-07,6300,Logistics – 3PL,CC-240,Hail WH,440016.54,
2025-07,6500,Depreciation Expense,CC-000,UNALLOCATED,14400.0,
2025-07,6500,Depreciation Expense,CC-100,HQ & Admin (Olaya),325920.0,
2025-07,6500,Depreciation Expense,CC-410,Finance Shared Services,139680.0,
2025-08,5000,COGS – Food,CC-000,UNALLOCATED,83538.82,
2025-08,5000,COGS – Food,CC-210,Riyadh North DC,1026413.64,
2025-08,5000,COGS – Food,CC-220,Riyadh South DC,810326.56,
2025-08,5000,COGS – Food,CC-230,Qassim WH,486195.94,
2025-08,5000,COGS – Food,CC-240,Hail WH,378152.4,
2025-08,5010,COGS – Beverages,CC-000,UNALLOCATED,68747.26,
2025-08,5010,COGS – Beverages,CC-210,Riyadh North DC,844674.62,
2025-08,5010,COGS – Beverages,CC-220,Riyadh South DC,666848.38,
2025-08,5010,COGS – Beverages,CC-230,Qassim WH,400109.03,
2025-08,5010,COGS – Beverages,CC-240,Hail WH,311195.9,
2025-08,5020,COGS – Household,CC-000,UNALLOCATED,106451.78,
2025-08,5020,COGS – Household,CC-210,Riyadh North DC,1307937.56,
2025-08,5020,COGS – Household,CC-220,Riyadh South DC,1032582.29,
2025-08,5020,COGS – Household,CC-230,Qassim WH,619549.37,
2025-08,5020,COGS – Household,CC-240,Hail WH,481871.74,
2025-08,5030,COGS – Cosmetics,CC-000,UNALLOCATED,87580.59,
2025-08,5030,COGS – Cosmetics,CC-210,Riyadh North DC,1076073.53,
2025-08,5030,COGS – Cosmetics,CC-220,Riyadh South DC,849531.73,
2025-08,5030,COGS – Cosmetics,CC-230,Qassim WH,509719.04,
2025-08,5030,COGS – Cosmetics,CC-240,Hail WH,396448.14,
2025-08,5100,Freight Inwards,CC-000,UNALLOCATED,1706.42,
2025-08,5100,Freight Inwards,CC-210,Riyadh North DC,20966.21,
2025-08,5100,Freight Inwards,CC-220,Riyadh South DC,16552.27,
2025-08,5100,Freight Inwards,CC-230,Qassim WH,9931.36,
2025-08,5100,Freight Inwards,CC-240,Hail WH,7724.39,
2025-08,6000,Salaries & Wages,CC-000,UNALLOCATED,114977.76,
2025-08,6000,Salaries & Wages,CC-100,HQ & Admin (Olaya),371761.43,
2025-08,6000,Salaries & Wages,CC-210,Riyadh North DC,817875.15,
2025-08,6000,Salaries & Wages,CC-220,Riyadh South DC,669170.58,
2025-08,6000,Salaries & Wages,CC-230,Qassim WH,371761.43,
2025-08,6000,Salaries & Wages,CC-240,Hail WH,297409.15,
2025-08,6000,Salaries & Wages,CC-310,Sales — Institutional,520466.01,
2025-08,6000,Salaries & Wages,CC-320,Sales — Retail channels,446113.72,
2025-08,6000,Salaries & Wages,CC-410,Finance Shared Services,223056.87,
2025-08,6020,GOSI Contributions,CC-000,UNALLOCATED,11727.73,
2025-08,6020,GOSI Contributions,CC-100,HQ & Admin (Olaya),37919.67,
2025-08,6020,GOSI Contributions,CC-210,Riyadh North DC,83423.26,
2025-08,6020,GOSI Contributions,CC-220,Riyadh South DC,68255.4,
2025-08,6020,GOSI Contributions,CC-230,Qassim WH,37919.67,
2025-08,6020,GOSI Contributions,CC-240,Hail WH,30335.73,
2025-08,6020,GOSI Contributions,CC-310,Sales — Institutional,53087.53,
2025-08,6020,GOSI Contributions,CC-320,Sales — Retail channels,45503.6,
2025-08,6020,GOSI Contributions,CC-410,Finance Shared Services,22751.8,
2025-08,6100,Rent Expense,CC-000,UNALLOCATED,99943.35,
2025-08,6100,Rent Expense,CC-100,HQ & Admin (Olaya),581670.31,
2025-08,6100,Rent Expense,CC-210,Riyadh North DC,969450.52,
2025-08,6100,Rent Expense,CC-220,Riyadh South DC,840190.45,
2025-08,6100,Rent Expense,CC-230,Qassim WH,452410.24,
2025-08,6100,Rent Expense,CC-240,Hail WH,387780.21,
2025-08,6110,Utilities,CC-000,UNALLOCATED,112624.89,
2025-08,6110,Utilities,CC-100,HQ & Admin (Olaya),364153.81,
2025-08,6110,Utilities,CC-210,Riyadh North DC,873969.16,
2025-08,6110,Utilities,CC-220,Riyadh South DC,728307.63,
2025-08,6110,Utilities,CC-230,Qassim WH,1092461.45,
2025-08,6110,Utilities,CC-240,Hail WH,582646.11,
2025-08,6200,Marketing & Advertising,CC-000,UNALLOCATED,2003.19,
2025-08,6200,Marketing & Advertising,CC-100,HQ & Admin (Olaya),9715.45,
2025-08,6200,Marketing & Advertising,CC-310,Sales — Institutional,16192.44,
2025-08,6200,Marketing & Advertising,CC-320,Sales — Retail channels,38861.85,
2025-08,6220,Professional Fees,CC-000,UNALLOCATED,7897.5,
2025-08,6220,Professional Fees,CC-100,HQ & Admin (Olaya),38302.87,
2025-08,6220,Professional Fees,CC-310,Sales — Institutional,63838.13,
2025-08,6220,Professional Fees,CC-320,Sales — Retail channels,153211.51,
2025-08,6300,Logistics – 3PL,CC-000,UNALLOCATED,96892.71,
2025-08,6300,Logistics – 3PL,CC-210,Riyadh North DC,1253145.7,
2025-08,6300,Logistics – 3PL,CC-220,Riyadh South DC,877201.99,
2025-08,6300,Logistics – 3PL,CC-230,Qassim WH,563915.57,
2025-08,6300,Logistics – 3PL,CC-240,Hail WH,438600.99,
2025-08,6500,Depreciation Expense,CC-000,UNALLOCATED,14400.0,
2025-08,6500,Depreciation Expense,CC-100,HQ & Admin (Olaya),325920.0,
2025-08,6500,Depreciation Expense,CC-410,Finance Shared Services,139680.0,
2025-09,5000,COGS – Food,CC-000,UNALLOCATED,128624.69,
2025-09,5000,COGS – Food,CC-210,Riyadh North DC,1580368.68,
2025-09,5000,COGS – Food,CC-220,Riyadh South DC,1247659.49,
2025-09,5000,COGS – Food,CC-230,Qassim WH,748595.69,
2025-09,5000,COGS – Food,CC-240,Hail WH,582241.1,
2025-09,5010,COGS – Beverages,CC-000,UNALLOCATED,105296.41,
2025-09,5010,COGS – Beverages,CC-210,Riyadh North DC,1293741.85,
2025-09,5010,COGS – Beverages,CC-220,Riyadh South DC,1021375.14,
2025-09,5010,COGS – Beverages,CC-230,Qassim WH,612825.09,
2025-09,5010,COGS – Beverages,CC-240,Hail WH,476641.73,
2025-09,5020,COGS – Household,CC-000,UNALLOCATED,97785.77,
2025-09,5020,COGS – Household,CC-210,Riyadh North DC,1201461.22,
2025-09,5020,COGS – Household,CC-220,Riyadh South DC,948522.02,
2025-09,5020,COGS – Household,CC-230,Qassim WH,569113.21,
2025-09,5020,COGS – Household,CC-240,Hail WH,442643.61,
2025-09,5030,COGS – Cosmetics,CC-000,UNALLOCATED,87075.46,
2025-09,5030,COGS – Cosmetics,CC-210,Riyadh North DC,1069867.21,
2025-09,5030,COGS – Cosmetics,CC-220,Riyadh South DC,844632.0,
2025-09,5030,COGS – Cosmetics,CC-230,Qassim WH,506779.2,
2025-09,5030,COGS – Cosmetics,CC-240,Hail WH,394161.61,
2025-09,5100,Freight Inwards,CC-000,UNALLOCATED,1672.62,
2025-09,5100,Freight Inwards,CC-210,Riyadh North DC,20550.98,
2025-09,5100,Freight Inwards,CC-220,Riyadh South DC,16224.46,
2025-09,5100,Freight Inwards,CC-230,Qassim WH,9734.68,
2025-09,5100,Freight Inwards,CC-240,Hail WH,7571.42,
2025-09,6000,Salaries & Wages,CC-000,UNALLOCATED,114929.55,
2025-09,6000,Salaries & Wages,CC-100,HQ & Admin (Olaya),371605.54,
2025-09,6000,Salaries & Wages,CC-210,Riyadh North DC,817532.18,
2025-09,6000,Salaries & Wages,CC-220,Riyadh South DC,668889.97,
2025-09,6000,Salaries & Wages,CC-230,Qassim WH,371605.54,
2025-09,6000,Salaries & Wages,CC-240,Hail WH,297284.43,
2025-09,6000,Salaries & Wages,CC-310,Sales — Institutional,520247.75,
2025-09,6000,Salaries & Wages,CC-320,Sales — Retail channels,445926.65,
2025-09,6000,Salaries & Wages,CC-410,Finance Shared Services,222963.32,
2025-09,6020,GOSI Contributions,CC-000,UNALLOCATED,11722.81,
2025-09,6020,GOSI Contributions,CC-100,HQ & Admin (Olaya),37903.76,
2025-09,6020,GOSI Contributions,CC-210,Riyadh North DC,83388.28,
2025-09,6020,GOSI Contributions,CC-220,Riyadh South DC,68226.78,
2025-09,6020,GOSI Contributions,CC-230,Qassim WH,37903.76,
2025-09,6020,GOSI Contributions,CC-240,Hail WH,30323.01,
2025-09,6020,GOSI Contributions,CC-310,Sales — Institutional,53065.27,
2025-09,6020,GOSI Contributions,CC-320,Sales — Retail channels,45484.52,
2025-09,6020,GOSI Contributions,CC-410,Finance Shared Services,22742.27,
2025-09,6100,Rent Expense,CC-000,UNALLOCATED,96383.96,
2025-09,6100,Rent Expense,CC-100,HQ & Admin (Olaya),560954.64,
2025-09,6100,Rent Expense,CC-210,Riyadh North DC,934924.4,
2025-09,6100,Rent Expense,CC-220,Riyadh South DC,810267.82,
2025-09,6100,Rent Expense,CC-230,Qassim WH,436298.06,
2025-09,6100,Rent Expense,CC-240,Hail WH,373969.76,
2025-09,6110,Utilities,CC-000,UNALLOCATED,90049.64,
2025-09,6110,Utilities,CC-100,HQ & Admin (Olaya),291160.51,
2025-09,6110,Utilities,CC-210,Riyadh North DC,698785.2,
2025-09,6110,Utilities,CC-220,Riyadh South DC,582321.0,
2025-09,6110,Utilities,CC-230,Qassim WH,873481.5,
2025-09,6110,Utilities,CC-240,Hail WH,465856.8,
2025-09,6200,Marketing & Advertising,CC-000,UNALLOCATED,4876.12,
2025-09,6200,Marketing & Advertising,CC-100,HQ & Admin (Olaya),23649.2,
2025-09,6200,Marketing & Advertising,CC-310,Sales — Institutional,39415.33,
2025-09,6200,Marketing & Advertising,CC-320,Sales — Retail channels,94596.79,
2025-09,6220,Professional Fees,CC-000,UNALLOCATED,13886.42,
2025-09,6220,Professional Fees,CC-100,HQ & Admin (Olaya),67349.14,
2025-09,6220,Professional Fees,CC-310,Sales — Institutional,112248.56,
2025-09,6220,Professional Fees,CC-320,Sales — Retail channels,269396.55,
2025-09,6300,Logistics – 3PL,CC-000,UNALLOCATED,97935.73,
2025-09,6300,Logistics – 3PL,CC-210,Riyadh North DC,1266635.39,
2025-09,6300,Logistics – 3PL,CC-220,Riyadh South DC,886644.77,
2025-09,6300,Logistics – 3PL,CC-230,Qassim WH,569985.92,
2025-09,6300,Logistics – 3PL,CC-240,Hail WH,443322.38,
2025-09,6500,Depreciation Expense,CC-000,UNALLOCATED,14400.0,
2025-09,6500,Depreciation Expense,CC-100,HQ & Admin (Olaya),325920.0,
2025-09,6500,Depreciation Expense,CC-410,Finance Shared Services,139680.0,
2025-09,6700,Insurance Expense,CC-000,UNALLOCATED,5100.0,
2025-09,6700,Insurance Expense,CC-100,HQ & Admin (Olaya),115430.0,
2025-09,6700,Insurance Expense,CC-410,Finance Shared Services,49470.0,
2025-10,5000,COGS – Food,CC-000,UNALLOCATED,94595.22,
2025-10,5000,COGS – Food,CC-210,Riyadh North DC,1162259.9,
2025-10,5000,COGS – Food,CC-220,Riyadh South DC,917573.6,
2025-10,5000,COGS – Food,CC-230,Qassim WH,550544.16,
2025-10,5000,COGS – Food,CC-240,Hail WH,428201.01,
2025-10,5010,COGS – Beverages,CC-000,UNALLOCATED,129118.83,
2025-10,5010,COGS – Beverages,CC-210,Riyadh North DC,1586440.02,
2025-10,5010,COGS – Beverages,CC-220,Riyadh South DC,1252452.65,
2025-10,5010,COGS – Beverages,CC-230,Qassim WH,751471.59,
2025-10,5010,COGS – Beverages,CC-240,Hail WH,584477.89,
2025-10,5020,COGS – Household,CC-000,UNALLOCATED,77311.33,
2025-10,5020,COGS – Household,CC-210,Riyadh North DC,949898.59,
2025-10,5020,COGS – Household,CC-220,Riyadh South DC,749919.94,
2025-10,5020,COGS – Household,CC-230,Qassim WH,449951.96,
2025-10,5020,COGS – Household,CC-240,Hail WH,349962.65,
2025-10,5030,COGS – Cosmetics,CC-000,UNALLOCATED,121516.56,
2025-10,5030,COGS – Cosmetics,CC-210,Riyadh North DC,1493033.45,
2025-10,5030,COGS – Cosmetics,CC-220,Riyadh South DC,1178710.61,
2025-10,5030,COGS – Cosmetics,CC-230,Qassim WH,707226.37,
2025-10,5030,COGS – Cosmetics,CC-240,Hail WH,550064.95,
2025-10,6000,Salaries & Wages,CC-000,UNALLOCATED,114006.51,
2025-10,6000,Salaries & Wages,CC-100,HQ & Admin (Olaya),368621.04,
2025-10,6000,Salaries & Wages,CC-210,Riyadh North DC,810966.28,
2025-10,6000,Salaries & Wages,CC-220,Riyadh South DC,663517.87,
2025-10,6000,Salaries & Wages,CC-230,Qassim WH,368621.04,
2025-10,6000,Salaries & Wages,CC-240,Hail WH,294896.83,
2025-10,6000,Salaries & Wages,CC-310,Sales — Institutional,516069.45,
2025-10,6000,Salaries & Wages,CC-320,Sales — Retail channels,442345.25,
2025-10,6000,Salaries & Wages,CC-410,Finance Shared Services,221172.62,
2025-10,6020,GOSI Contributions,CC-000,UNALLOCATED,11628.66,
2025-10,6020,GOSI Contributions,CC-100,HQ & Admin (Olaya),37599.35,
2025-10,6020,GOSI Contributions,CC-210,Riyadh North DC,82718.56,
2025-10,6020,GOSI Contributions,CC-220,Riyadh South DC,67678.82,
2025-10,6020,GOSI Contributions,CC-230,Qassim WH,37599.35,
2025-10,6020,GOSI Contributions,CC-240,Hail WH,30079.48,
2025-10,6020,GOSI Contributions,CC-310,Sales — Institutional,52639.08,
2025-10,6020,GOSI Contributions,CC-320,Sales — Retail channels,45119.21,
2025-10,6020,GOSI Contributions,CC-410,Finance Shared Services,22559.61,
2025-10,6100,Rent Expense,CC-000,UNALLOCATED,106181.62,
2025-10,6100,Rent Expense,CC-100,HQ & Admin (Olaya),617977.03,
2025-10,6100,Rent Expense,CC-210,Riyadh North DC,1029961.7,
2025-10,6100,Rent Expense,CC-220,Riyadh South DC,892633.47,
2025-10,6100,Rent Expense,CC-230,Qassim WH,480648.79,
2025-10,6100,Rent Expense,CC-240,Hail WH,411984.68,
2025-10,6110,Utilities,CC-000,UNALLOCATED,91325.39,
2025-10,6110,Utilities,CC-100,HQ & Admin (Olaya),295285.42,
2025-10,6110,Utilities,CC-210,Riyadh North DC,708685.02,
2025-10,6110,Utilities,CC-220,Riyadh South DC,590570.85,
2025-10,6110,Utilities,CC-230,Qassim WH,885856.27,
2025-10,6110,Utilities,CC-240,Hail WH,472456.68,
2025-10,6200,Marketing & Advertising,CC-000,UNALLOCATED,2708.34,
2025-10,6200,Marketing & Advertising,CC-100,HQ & Admin (Olaya),13135.44,
2025-10,6200,Marketing & Advertising,CC-310,Sales — Institutional,21892.41,
2025-10,6200,Marketing & Advertising,CC-320,Sales — Retail channels,52541.77,
2025-10,6220,Professional Fees,CC-000,UNALLOCATED,15853.41,
2025-10,6220,Professional Fees,CC-100,HQ & Admin (Olaya),76889.06,
2025-10,6220,Professional Fees,CC-310,Sales — Institutional,128148.42,
2025-10,6220,Professional Fees,CC-320,Sales — Retail channels,307556.21,
2025-10,6300,Logistics – 3PL,,,609870.47,
2025-10,6300,Logistics – 3PL,CC-000,UNALLOCATED,67364.19,
2025-10,6300,Logistics – 3PL,CC-210,Riyadh North DC,871243.53,
2025-10,6300,Logistics – 3PL,CC-230,Qassim WH,392059.59,
2025-10,6300,Logistics – 3PL,CC-240,Hail WH,304935.23,
2025-10,6500,Depreciation Expense,CC-000,UNALLOCATED,14400.0,
2025-10,6500,Depreciation Expense,CC-100,HQ & Admin (Olaya),325920.0,
2025-10,6500,Depreciation Expense,CC-410,Finance Shared Services,139680.0,
2025-11,5000,COGS – Food,CC-000,UNALLOCATED,113320.55,
2025-11,5000,COGS – Food,CC-210,Riyadh North DC,1392331.88,
2025-11,5000,COGS – Food,CC-220,Riyadh South DC,1099209.38,
2025-11,5000,COGS – Food,CC-230,Qassim WH,659525.63,
2025-11,5000,COGS – Food,CC-240,Hail WH,512964.38,
2025-11,5010,COGS – Beverages,CC-000,UNALLOCATED,77466.63,
2025-11,5010,COGS – Beverages,CC-210,Riyadh North DC,951806.68,
2025-11,5010,COGS – Beverages,CC-220,Riyadh South DC,751426.33,
2025-11,5010,COGS – Beverages,CC-230,Qassim WH,450855.8,
2025-11,5010,COGS – Beverages,CC-240,Hail WH,350665.62,
2025-11,5020,COGS – Household,CC-000,UNALLOCATED,132243.57,
2025-11,5020,COGS – Household,CC-210,Riyadh North DC,1624832.61,
2025-11,5020,COGS – Household,CC-220,Riyadh South DC,1282762.59,
2025-11,5020,COGS – Household,CC-230,Qassim WH,769657.55,
2025-11,5020,COGS – Household,CC-240,Hail WH,598622.53,
2025-11,5030,COGS – Cosmetics,CC-000,UNALLOCATED,86578.58,
2025-11,5030,COGS – Cosmetics,CC-210,Riyadh North DC,1063762.17,
2025-11,5030,COGS – Cosmetics,CC-220,Riyadh South DC,839812.24,
2025-11,5030,COGS – Cosmetics,CC-230,Qassim WH,503887.34,
2025-11,5030,COGS – Cosmetics,CC-240,Hail WH,391912.38,
2025-11,5100,Freight Inwards,CC-000,UNALLOCATED,1462.53,
2025-11,5100,Freight Inwards,CC-210,Riyadh North DC,17969.59,
2025-11,5100,Freight Inwards,CC-220,Riyadh South DC,14186.51,
2025-11,5100,Freight Inwards,CC-230,Qassim WH,8511.91,
2025-11,5100,Freight Inwards,CC-240,Hail WH,6620.37,
2025-11,6000,Salaries & Wages,CC-000,UNALLOCATED,116906.74,
2025-11,6000,Salaries & Wages,CC-100,HQ & Admin (Olaya),377998.46,
2025-11,6000,Salaries & Wages,CC-210,Riyadh North DC,831596.62,
2025-11,6000,Salaries & Wages,CC-220,Riyadh South DC,680397.23,
2025-11,6000,Salaries & Wages,CC-230,Qassim WH,377998.46,
2025-11,6000,Salaries & Wages,CC-240,Hail WH,302398.77,
2025-11,6000,Salaries & Wages,CC-310,Sales — Institutional,529197.85,
2025-11,6000,Salaries & Wages,CC-320,Sales — Retail channels,453598.15,
2025-11,6000,Salaries & Wages,CC-410,Finance Shared Services,226799.08,
2025-11,6020,GOSI Contributions,CC-000,UNALLOCATED,11924.49,
2025-11,6020,GOSI Contributions,CC-100,HQ & Admin (Olaya),38555.84,
2025-11,6020,GOSI Contributions,CC-210,Riyadh North DC,84822.86,
2025-11,6020,GOSI Contributions,CC-220,Riyadh South DC,69400.52,
2025-11,6020,GOSI Contributions,CC-230,Qassim WH,38555.84,
2025-11,6020,GOSI Contributions,CC-240,Hail WH,30844.67,
2025-11,6020,GOSI Contributions,CC-310,Sales — Institutional,53978.18,
2025-11,6020,GOSI Contributions,CC-320,Sales — Retail channels,46267.01,
2025-11,6020,GOSI Contributions,CC-410,Finance Shared Services,23133.51,
2025-11,6100,Rent Expense,CC-000,UNALLOCATED,106148.67,
2025-11,6100,Rent Expense,CC-100,HQ & Admin (Olaya),617785.22,
2025-11,6100,Rent Expense,CC-210,Riyadh North DC,1029642.06,
2025-11,6100,Rent Expense,CC-220,Riyadh South DC,892356.45,
2025-11,6100,Rent Expense,CC-230,Qassim WH,480499.63,
2025-11,6100,Rent Expense,CC-240,Hail WH,411856.82,
2025-11,6110,Utilities,CC-000,UNALLOCATED,84446.97,
2025-11,6110,Utilities,CC-100,HQ & Admin (Olaya),273045.2,
2025-11,6110,Utilities,CC-210,Riyadh North DC,655308.47,
2025-11,6110,Utilities,CC-220,Riyadh South DC,546090.39,
2025-11,6110,Utilities,CC-230,Qassim WH,819135.59,
2025-11,6110,Utilities,CC-240,Hail WH,436872.32,
2025-11,6200,Marketing & Advertising,CC-000,UNALLOCATED,1616.23,
2025-11,6200,Marketing & Advertising,CC-100,HQ & Admin (Olaya),7838.7,
2025-11,6200,Marketing & Advertising,CC-310,Sales — Institutional,13064.5,
2025-11,6200,Marketing & Advertising,CC-320,Sales — Retail channels,31354.8,
2025-11,6220,Professional Fees,CC-000,UNALLOCATED,12175.73,
2025-11,6220,Professional Fees,CC-100,HQ & Admin (Olaya),59052.3,
2025-11,6220,Professional Fees,CC-310,Sales — Institutional,98420.49,
2025-11,6220,Professional Fees,CC-320,Sales — Retail channels,236209.18,
2025-11,6300,Logistics – 3PL,CC-000,UNALLOCATED,112974.23,
2025-11,6300,Logistics – 3PL,CC-210,Riyadh North DC,1461133.41,
2025-11,6300,Logistics – 3PL,CC-220,Riyadh South DC,1022793.38,
2025-11,6300,Logistics – 3PL,CC-230,Qassim WH,657510.03,
2025-11,6300,Logistics – 3PL,CC-240,Hail WH,511396.7,
